MTDID;IMG_original;IMG_cleaned;MIDI_EDM;WAV_MTD;WAV_WCM;BMID;EDMID;ComposerID;ComposerBirth;ComposerDeath;WorkID;PerformanceID;CollectionID;MusicBrainzID;LabelID;WCMID;WorkTitle;ThemeLabelBM;ThemeInstruments;WorkInstruments;Ensemble;Polyphony;NameCD;NameTrack;StartTime;EndTime;MidiTransposition;Comment1;Comment2;Comment3
0116;MTD0116_Bach_BWV1046-01.jpg;MTD0116_Bach_BWV1046-01.jpg;MTD0116_Bach_BWV1046-01.mid;MTD0116_Bach_BWV1046-01.wav;Bach_BWV1046-01_Belder_BC-WCM1758.wav;B30;0121;Bach;1685;1750;BWV1046-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1758;Brandenburg Concerto, no 1;;Violin;Oboe, Violin, Horn, Harpsichord, Strings;Concerto;Polyphon;001;Track01;00:01;00:07;-1;;;
0126;MTD0126_Bach_BWV1048-01.jpg;MTD0126_Bach_BWV1048-01.jpg;MTD0126_Bach_BWV1048-01.mid;MTD0126_Bach_BWV1048-01.wav;Bach_BWV1048-01_Belder_BC-WCM1765.wav;B40;0131;Bach;1685;1750;BWV1048-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1765;Brandenburg Concerto, no. 3;;Violin;Violin, Viola, Cello, Harpsichord, Strings;Concerto;Polyphon;001;Track08;00:00.7;00:05.4;-1;;;
0167;MTD0167_Bach_BWV1065-01.jpg;MTD0167_Bach_BWV1065-01.jpg;MTD0167_Bach_BWV1065-01.mid;MTD0167_Bach_BWV1065-01.wav;Bach_BWV1065-01_Schornsheim_BC-WCM1837.wav;B81;0172;Bach;1685;1750;BWV1065-01;Schornsheim;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1837;Concerto;;Harpsichord;Harpsichord, Strings;Concerto;Polyphon;007;Track13;00:00.5;00:09;0;MidiNumberCorrected;;
0169;MTD0169_Bach_BWV1041-01.jpg;MTD0169_Bach_BWV1041-01.jpg;MTD0169_Bach_BWV1041-01.mid;MTD0169_Bach_BWV1041-01.wav;Bach_BWV1041-01_Sitkovetsky_BC-WCM1801.wav;B83;0174;Bach;1685;1750;BWV1041-01;Sitkovetsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1801;Violin Concert in A minor;;Violin;Violin, Harpsichord, Strings;Concerto;Homophon;005;Track01;00:00.8;00:06.6;0;;;
0179;MTD0179_Bach_BWV0543-01.jpg;MTD0179_Bach_BWV0543-01.jpg;MTD0179_Bach_BWV0543-01.mid;MTD0179_Bach_BWV0543-01.wav;Bach_BWV0543-01_Fagius_BC-WCM4990.wav;B93;0184;Bach;1685;1750;BWV0543-01;Fagius;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;4990;Prelude;;Organ;Organ;Solo;Homophon;157;Track16;00:02;00:07;0;MidiErrTempo;;
0242;MTD0242_Bach_BWV1002-03-1.jpg;MTD0242_Bach_BWV1002-03-1.jpg;MTD0242_Bach_BWV1002-03-1.mid;MTD0242_Bach_BWV1002-03-1.wav;Bach_BWV1002-03-1_Lubotsky_BC-WCM1869.wav;B156;0247;Bach;1685;1750;BWV1002-03-1;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1869;Partita: Sarabande;;Violin;Violin;Solo;Homophon;010;Track09;00:01;00:09;0;;;
0243;MTD0243_Bach_BWV1002-04-1.jpg;MTD0243_Bach_BWV1002-04-1.jpg;MTD0243_Bach_BWV1002-04-1.mid;MTD0243_Bach_BWV1002-04-1.wav;Bach_BWV1002-04-1_Lubotsky_BC-WCM1871.wav;B157;0248;Bach;1685;1750;BWV1002-04-1;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1871;;;Violin;Violin;Solo;Homophon;010;Track11;00:00.6;00:07;0;;;
0257;MTD0257_Bach_BWV1030-01.jpg;MTD0257_Bach_BWV1030-01.jpg;MTD0257_Bach_BWV1030-01.mid;MTD0257_Bach_BWV1030-01.wav;Bach_BWV1030-01_Wentz_BC-WCM1943.wav;B171;0262;Bach;1685;1750;BWV1030-01;Wentz;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1943;Sonata;;Flute;Flute, Harpsichord;Duo;Polyphon;014;Track16;00:01;00:08;-1;;;
0261;MTD0261_Bach_BWV1001-01.jpg;MTD0261_Bach_BWV1001-01.jpg;MTD0261_Bach_BWV1001-01.mid;MTD0261_Bach_BWV1001-01.wav;Bach_BWV1001-01_Lubotsky_BC-WCM1861.wav;B175;0266;Bach;1685;1750;BWV1001-01;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1861;Sonata: Adagio;;Violin;Violin;Solo;Monophon+Homophon;010;Track01;00:03;00:14;0;MidiErrTempo;;
0262;MTD0262_Bach_BWV1001-02.jpg;MTD0262_Bach_BWV1001-02.jpg;MTD0262_Bach_BWV1001-02.mid;MTD0262_Bach_BWV1001-02.wav;Bach_BWV1001-02_Lubotsky_BC-WCM1862.wav;B176;0267;Bach;1685;1750;BWV1001-02;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1862;;;Violin;Violin;Solo;Monophon;010;Track02;00:00;00:03.6;0;;;
0263;MTD0263_Bach_BWV1001-03.jpg;MTD0263_Bach_BWV1001-03.jpg;MTD0263_Bach_BWV1001-03.mid;MTD0263_Bach_BWV1001-03.wav;Bach_BWV1001-03_Lubotsky_BC-WCM1863.wav;B177;0268;Bach;1685;1750;BWV1001-03;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1863;;;Violin;Violin;Solo;Monophon+Homophon;010;Track03;00:01;00:09;0;;;
0264;MTD0264_Bach_BWV1001-04.jpg;MTD0264_Bach_BWV1001-04.jpg;MTD0264_Bach_BWV1001-04.mid;MTD0264_Bach_BWV1001-04.wav;Bach_BWV1001-04_Lubotsky_BC-WCM1864.wav;B178;0269;Bach;1685;1750;BWV1001-04;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1864;;;Violin;Violin;Solo;Monophon;010;Track04;00:00.5;00:02.7;0;;;
0265;MTD0265_Bach_BWV1003-01.jpg;MTD0265_Bach_BWV1003-01.jpg;MTD0265_Bach_BWV1003-01.mid;MTD0265_Bach_BWV1003-01.wav;Bach_BWV1003-01_Lubotsky_BC-WCM1873.wav;B178a;0270;Bach;1685;1750;BWV1003-01;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1873;;;Violin;Violin;Solo;Monophon+Homophon;010;Track13;00:01.3;00:16;0;MidiNumberCorrected;;
0266;MTD0266_Bach_BWV1003-02.jpg;MTD0266_Bach_BWV1003-02.jpg;MTD0266_Bach_BWV1003-02.mid;MTD0266_Bach_BWV1003-02.wav;Bach_BWV1003-02_Lubotsky_BC-WCM1874.wav;B179;0271;Bach;1685;1750;BWV1003-02;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1874;;;Violin;Violin;Solo;Monophon;010;Track14;00:00;00:03.1;0;;;
0267;MTD0267_Bach_BWV1003-03.jpg;MTD0267_Bach_BWV1003-03.jpg;MTD0267_Bach_BWV1003-03.mid;MTD0267_Bach_BWV1003-03.wav;Bach_BWV1003-03_Lubotsky_BC-WCM1875.wav;B180;0272;Bach;1685;1750;BWV1003-03;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1875;;;Violin;Violin;Solo;Homophon;010;Track15;00:00.1;00:13;0;;;
0268;MTD0268_Bach_BWV1003-04.jpg;MTD0268_Bach_BWV1003-04.jpg;MTD0268_Bach_BWV1003-04.mid;MTD0268_Bach_BWV1003-04.wav;Bach_BWV1003-04_Lubotsky_BC-WCM1876.wav;B180a;0273;Bach;1685;1750;BWV1003-04;Lubotsky;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1876;;;Violin;Violin;Solo;Monophon;010;Track16;00:00.6;00:06.5;0;;;
0297;MTD0297_Bach_BWV1009-05.jpg;MTD0297_Bach_BWV1009-05.jpg;MTD0297_Bach_BWV1009-05.mid;MTD0297_Bach_BWV1009-05.wav;Bach_BWV1009-05_Linden_BC-WCM1902.wav;B209;0302;Bach;1685;1750;BWV1009-05;Linden;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1902;Cello Suite;;Cello;Cello;Solo;Monophon+Homophon;012;Track11;00:01.5;00:07.5;-1;;;
0298;MTD0298_Bach_BWV1012-05.jpg;MTD0298_Bach_BWV1012-05.jpg;MTD0298_Bach_BWV1012-05.mid;MTD0298_Bach_BWV1012-05.wav;Bach_BWV1012-05_Linden_BC-WCM1926.wav;B210;0303;Bach;1685;1750;BWV1012-05;Linden;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;1926;;;Cello;Cello;Solo;Homophon;013;Track17;00:01;00:08.6;-1;;;
0333;MTD0333_Bach_BWV0808-01.jpg;MTD0333_Bach_BWV0808-01.jpg;MTD0333_Bach_BWV0808-01.mid;MTD0333_Bach_BWV0808-01.wav;Bach_BWV0808-01_Asperen_BC-WCM2360.wav;B245;0338;Bach;1685;1750;BWV0808-01;Asperen;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2360;English Suite No 3;;Harpsichord;Harpsichord;Solo;Polyphon;035;Track20;00:00;00:04.8;-1;;;Fugato
0334;MTD0334_Bach_BWV0808-02.jpg;MTD0334_Bach_BWV0808-02.jpg;MTD0334_Bach_BWV0808-02.mid;MTD0334_Bach_BWV0808-02.wav;Bach_BWV0808-02_Asperen_BC-WCM2361.wav;B246;0339;Bach;1685;1750;BWV0808-02;Asperen;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2361;;;Harpsichord;Harpsichord;Solo;Homophon;035;Track21;00:00.4;00:11.3;-1;;;
0335;MTD0335_Bach_BWV0808-04.jpg;MTD0335_Bach_BWV0808-04.jpg;MTD0335_Bach_BWV0808-04.mid;MTD0335_Bach_BWV0808-04.wav;Bach_BWV0808-04_Asperen_BC-WCM2363.wav;B247;0340;Bach;1685;1750;BWV0808-04;Asperen;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2363;;;Harpsichord;Harpsichord;Solo;Homophon;035;Track23;00:01;00:17.7;-1;;;
0336;MTD0336_Bach_BWV0808-05-1.jpg;MTD0336_Bach_BWV0808-05-1.jpg;MTD0336_Bach_BWV0808-05-1.mid;MTD0336_Bach_BWV0808-05-1.wav;Bach_BWV0808-05-1_Asperen_BC-WCM2364.wav;B248;0341;Bach;1685;1750;BWV0808-05-1;Asperen;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2364;;;Harpsichord;Harpsichord;Solo;Polyphon;035;Track24;00:00.4;00:04.8;-1;;;
0337;MTD0337_Bach_BWV0808-05-2.jpg;MTD0337_Bach_BWV0808-05-2.jpg;MTD0337_Bach_BWV0808-05-2.mid;MTD0337_Bach_BWV0808-05-2.wav;Bach_BWV0808-05-2_Asperen_BC-WCM2365.wav;B249;0342;Bach;1685;1750;BWV0808-05-2;Asperen;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2365;;;Harpsichord;Harpsichord;Solo;Homophon;035;Track25;00:00.4;00:05;-1;;;
0338;MTD0338_Bach_BWV0808-06.jpg;MTD0338_Bach_BWV0808-06.jpg;MTD0338_Bach_BWV0808-06.mid;MTD0338_Bach_BWV0808-06.wav;Bach_BWV0808-06_Asperen_BC-WCM2367.wav;B250;0343;Bach;1685;1750;BWV0808-06;Asperen;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2367;;;Harpsichord;Harpsichord;Solo;Monophon;035;Track27;00:00.3;00:03.4;-1;;;
0386;MTD0386_Bach_BWV0565-01.jpg;MTD0386_Bach_BWV0565-01.jpg;MTD0386_Bach_BWV0565-01.mid;MTD0386_Bach_BWV0565-01.wav;Bach_BWV0565-01_Fagius_BC-WCM4888.wav;B298;0391;Bach;1685;1750;BWV0565-01;Fagius;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;4888;Toccata;;Organ;Organ;Solo;Homophon;152;Track01;00:02.1;00:17;1;MidiErrTempo;;
0387;MTD0387_Bach_BWV0565-02.jpg;MTD0387_Bach_BWV0565-02.jpg;MTD0387_Bach_BWV0565-02.mid;MTD0387_Bach_BWV0565-02.wav;Bach_BWV0565-02_Fagius_BC-WCM4889.wav;B299;0392;Bach;1685;1750;BWV0565-02;Fagius;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;4889;Fugue;;Organ;Organ;Solo;Homophon;152;Track02;00:00.2;00:05.1;1;;;
0389;MTD0389_Bach_BWV0846-01.jpg;MTD0389_Bach_BWV0846-01.jpg;MTD0389_Bach_BWV0846-01.mid;MTD0389_Bach_BWV0846-01.wav;Bach_BWV0846-01_Belder_BC-WCM2131.wav;B301;0394;Bach;1685;1750;BWV0846-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2131;Prelude;;Harpsichord;Harpsichord;Solo;Homophon;024;Track01;00:00.7;00:08.5;-1;MidiErrTempo,NicknameCorrected;;
