variant;cost;B;N;M;D;fwd;bwd;mem;
SDTW;BCE;16;256;64;12;2.20501;1.48794;0.07250;
dDTW;BCE;16;256;64;12;4.77300;3.23878;0.02327;
CTC_torch;BCE;16;256;64;12;0.25032;0.91702;0.00198;
SDTW;BCE;16;256;128;12;4.53288;2.31260;0.14482;
dDTW;BCE;16;256;128;12;5.15204;1.88618;0.04580;
CTC_torch;BCE;16;256;128;12;0.24579;0.92103;0.00203;
SDTW;BCE;16;512;64;12;4.53535;2.81598;0.14495;
dDTW;BCE;16;512;64;12;5.16500;3.29212;0.04646;
CTC_torch;BCE;16;512;64;12;0.48439;0.64202;0.00390;
SDTW;BCE;16;512;128;12;9.20227;3.83283;0.28954;
dDTW;BCE;16;512;128;12;6.43917;1.96631;0.09145;
CTC_torch;BCE;16;512;128;12;0.48724;0.64469;0.00396;
SDTW;BCE;16;1024;128;12;14.66119;6.84074;0.57897;
dDTW;BCE;16;1024;128;12;8.43070;3.28871;0.18276;
CTC_torch;BCE;16;1024;128;12;0.54792;0.90061;0.00780;
SDTW;BCE;16;1024;512;12;43.36789;19.02039;2.31366;
dDTW;BCE;16;1024;512;12;22.81960;3.26152;0.72224;
CTC_torch;BCE;16;1024;512;12;0.55574;0.91781;0.00812;
SDTW;BCE;16;1024;1024;12;80.83543;37.99023;4.62659;
dDTW;BCE;16;1024;1024;12;38.53348;3.60279;1.44153;
CTC_torch;BCE;16;1024;1024;12;0.55446;0.91362;0.00855;
